timestamp,git_commit,gpu,torch_version,torch_cuda_version,triton_version,transformers_version,run_index,case_index,provider_position,case_provider_order,family,case_name,batch_size,sequence_length,rows,hidden_size,numel,dtype,provider,input_is_contiguous,weight_is_contiguous,status,error,first_call_ms,p50_ms,p95_ms,max_abs_error,mean_abs_error,speedup_vs_huggingface
2026-07-29T16:38:26,2d52b4a,NVIDIA GeForce RTX 4090,2.7.1+cu126,12.6,3.3.1,5.14.1,3,13,1,triton_adapter|huggingface,qwen2,prefill_s32,1,32,32,512,16384,bf16,triton_adapter,True,True,ok,,0.043399000,0.003936000,0.004096000,0.031250000,0.001166456,4.422764116
2026-07-29T16:38:26,2d52b4a,NVIDIA GeForce RTX 4090,2.7.1+cu126,12.6,3.3.1,5.14.1,3,13,2,triton_adapter|huggingface,qwen2,prefill_s32,1,32,32,512,16384,bf16,huggingface,True,True,ok,,0.142782999,0.017408000,0.018432001,0.000000000,0.000000000,1.000000000
2026-07-29T16:38:26,2d52b4a,NVIDIA GeForce RTX 4090,2.7.1+cu126,12.6,3.3.1,5.14.1,3,14,1,huggingface|triton_adapter,qwen2,prefill_s128,1,128,128,512,65536,bf16,huggingface,True,True,ok,,0.056001000,0.018432001,0.019455999,0.000000000,0.000000000,1.000000000
2026-07-29T16:38:26,2d52b4a,NVIDIA GeForce RTX 4090,2.7.1+cu126,12.6,3.3.1,5.14.1,3,14,2,huggingface|triton_adapter,qwen2,prefill_s128,1,128,128,512,65536,bf16,triton_adapter,True,True,ok,,0.196708000,0.004096000,0.004320000,0.031250000,0.001113363,4.500000171
2026-07-29T16:38:26,2d52b4a,NVIDIA GeForce RTX 4090,2.7.1+cu126,12.6,3.3.1,5.14.1,3,15,1,triton_adapter|huggingface,qwen2,prefill_b4_s32,4,32,128,512,65536,bf16,triton_adapter,True,True,ok,,0.048055001,0.004096000,0.004160000,0.031250000,0.001081295,4.500000171
2026-07-29T16:38:26,2d52b4a,NVIDIA GeForce RTX 4090,2.7.1+cu126,12.6,3.3.1,5.14.1,3,15,2,triton_adapter|huggingface,qwen2,prefill_b4_s32,4,32,128,512,65536,bf16,huggingface,True,True,ok,,0.129118999,0.018432001,0.019455999,0.000000000,0.000000000,1.000000000
2026-07-29T16:38:26,2d52b4a,NVIDIA GeForce RTX 4090,2.7.1+cu126,12.6,3.3.1,5.14.1,3,16,1,huggingface|triton_adapter,llama,single_token_no_cache,1,1,1,512,512,fp32,huggingface,True,True,ok,,0.054422000,0.012000000,0.012288000,0.000000000,0.000000000,1.000000000
2026-07-29T16:38:26,2d52b4a,NVIDIA GeForce RTX 4090,2.7.1+cu126,12.6,3.3.1,5.14.1,3,16,2,huggingface|triton_adapter,llama,single_token_no_cache,1,1,1,512,512,fp32,triton_adapter,True,True,ok,,0.114371001,0.004032000,0.004256000,0.000000000,0.000000000,2.976190526
2026-07-29T16:38:26,2d52b4a,NVIDIA GeForce RTX 4090,2.7.1+cu126,12.6,3.3.1,5.14.1,3,17,1,triton_adapter|huggingface,llama,prefill_s32,1,32,32,512,16384,fp32,triton_adapter,True,True,ok,,0.045560000,0.003200000,0.004096000,0.000000715,0.000000012,4.160000058
2026-07-29T16:38:26,2d52b4a,NVIDIA GeForce RTX 4090,2.7.1+cu126,12.6,3.3.1,5.14.1,3,17,2,triton_adapter|huggingface,llama,prefill_s32,1,32,32,512,16384,fp32,huggingface,True,True,ok,,0.115712000,0.013312000,0.013440000,0.000000000,0.000000000,1.000000000
